Threshold,False Positive Rate (x),True Positive Rate (y)
0.000000,1.000000,1.000000
0.001000,1.000000,1.000000
0.002000,1.000000,1.000000
0.003000,1.000000,1.000000
0.004000,1.000000,1.000000
0.005000,1.000000,1.000000
0.006000,1.000000,1.000000
0.007000,1.000000,1.000000
0.008000,1.000000,1.000000
0.009000,1.000000,1.000000
0.010000,1.000000,1.000000
0.011000,1.000000,1.000000
0.012000,1.000000,1.000000
0.013000,1.000000,1.000000
0.014000,1.000000,1.000000
0.015000,1.000000,1.000000
0.016000,1.000000,1.000000
0.017000,1.000000,1.000000
0.018000,1.000000,1.000000
0.019000,1.000000,1.000000
0.020000,1.000000,1.000000
0.021000,1.000000,1.000000
0.022000,1.000000,1.000000
0.023000,1.000000,1.000000
0.024000,1.000000,1.000000
0.025000,1.000000,1.000000
0.026000,1.000000,1.000000
0.027000,1.000000,1.000000
0.028000,1.000000,1.000000
0.029000,1.000000,1.000000
0.030000,1.000000,1.000000
0.031000,1.000000,1.000000
0.032000,1.000000,1.000000
0.033000,1.000000,1.000000
0.034000,1.000000,1.000000
0.035000,1.000000,1.000000
0.036000,1.000000,1.000000
0.037000,1.000000,1.000000
0.038000,1.000000,1.000000
0.039000,1.000000,1.000000
0.040000,1.000000,1.000000
0.041000,1.000000,1.000000
0.042000,1.000000,1.000000
0.043000,1.000000,1.000000
0.044000,1.000000,1.000000
0.045000,1.000000,1.000000
0.046000,1.000000,1.000000
0.047000,1.000000,1.000000
0.048000,1.000000,1.000000
0.049000,1.000000,1.000000
0.050000,1.000000,1.000000
0.051000,1.000000,1.000000
0.052000,1.000000,1.000000
0.053000,1.000000,1.000000
0.054000,1.000000,1.000000
0.055000,1.000000,1.000000
0.056000,1.000000,1.000000
0.057000,1.000000,1.000000
0.058000,1.000000,1.000000
0.059000,1.000000,1.000000
0.060000,1.000000,1.000000
0.061000,1.000000,1.000000
0.062000,1.000000,1.000000
0.063000,1.000000,1.000000
0.064000,1.000000,1.000000
0.065000,1.000000,1.000000
0.066000,1.000000,1.000000
0.067000,1.000000,1.000000
0.068000,1.000000,1.000000
0.069000,1.000000,1.000000
0.070000,1.000000,1.000000
0.071000,1.000000,1.000000
0.072000,1.000000,1.000000
0.073000,1.000000,1.000000
0.074000,1.000000,1.000000
0.075000,1.000000,1.000000
0.076000,1.000000,1.000000
0.077000,1.000000,1.000000
0.078000,1.000000,1.000000
0.079000,1.000000,1.000000
0.080000,1.000000,1.000000
0.081000,1.000000,1.000000
0.082000,1.000000,1.000000
0.083000,1.000000,1.000000
0.084000,1.000000,1.000000
0.085000,1.000000,1.000000
0.086000,1.000000,1.000000
0.087000,1.000000,1.000000
0.088000,1.000000,1.000000
0.089000,1.000000,1.000000
0.090000,1.000000,1.000000
0.091000,1.000000,1.000000
0.092000,1.000000,1.000000
0.093000,1.000000,1.000000
0.094000,1.000000,1.000000
0.095000,1.000000,1.000000
0.096000,1.000000,1.000000
0.097000,1.000000,1.000000
0.098000,1.000000,1.000000
0.099000,1.000000,1.000000
0.100000,1.000000,1.000000
0.101000,1.000000,1.000000
0.102000,1.000000,1.000000
0.103000,1.000000,1.000000
0.104000,1.000000,1.000000
0.105000,1.000000,1.000000
0.106000,1.000000,1.000000
0.107000,1.000000,1.000000
0.108000,1.000000,1.000000
0.109000,1.000000,1.000000
0.110000,1.000000,1.000000
0.111000,1.000000,1.000000
0.112000,1.000000,1.000000
0.113000,1.000000,1.000000
0.114000,1.000000,1.000000
0.115000,1.000000,1.000000
0.116000,1.000000,1.000000
0.117000,1.000000,1.000000
0.118000,1.000000,1.000000
0.119000,1.000000,1.000000
0.120000,1.000000,1.000000
0.121000,1.000000,1.000000
0.122000,1.000000,1.000000
0.123000,1.000000,1.000000
0.124000,1.000000,1.000000
0.125000,1.000000,1.000000
0.126000,1.000000,1.000000
0.127000,1.000000,1.000000
0.128000,1.000000,1.000000
0.129000,1.000000,1.000000
0.130000,1.000000,1.000000
0.131000,1.000000,1.000000
0.132000,1.000000,1.000000
0.133000,1.000000,1.000000
0.134000,1.000000,1.000000
0.135000,1.000000,1.000000
0.136000,1.000000,1.000000
0.137000,1.000000,1.000000
0.138000,1.000000,1.000000
0.139000,1.000000,1.000000
0.140000,1.000000,1.000000
0.141000,1.000000,1.000000
0.142000,1.000000,1.000000
0.143000,1.000000,1.000000
0.144000,1.000000,1.000000
0.145000,1.000000,1.000000
0.146000,1.000000,1.000000
0.147000,1.000000,1.000000
0.148000,1.000000,1.000000
0.149000,1.000000,1.000000
0.150000,1.000000,1.000000
0.151000,1.000000,1.000000
0.152000,1.000000,1.000000
0.153000,1.000000,1.000000
0.154000,1.000000,1.000000
0.155000,1.000000,1.000000
0.156000,1.000000,1.000000
0.157000,1.000000,1.000000
0.158000,1.000000,1.000000
0.159000,1.000000,1.000000
0.160000,1.000000,1.000000
0.161000,1.000000,1.000000
0.162000,1.000000,1.000000
0.163000,1.000000,1.000000
0.164000,1.000000,1.000000
0.165000,1.000000,1.000000
0.166000,1.000000,1.000000
0.167000,1.000000,1.000000
0.168000,1.000000,1.000000
0.169000,1.000000,1.000000
0.170000,1.000000,1.000000
0.171000,1.000000,1.000000
0.172000,1.000000,1.000000
0.173000,1.000000,1.000000
0.174000,1.000000,1.000000
0.175000,1.000000,1.000000
0.176000,1.000000,1.000000
0.177000,1.000000,1.000000
0.178000,1.000000,1.000000
0.179000,1.000000,1.000000
0.180000,1.000000,1.000000
0.181000,1.000000,1.000000
0.182000,1.000000,1.000000
0.183000,1.000000,1.000000
0.184000,1.000000,1.000000
0.185000,1.000000,1.000000
0.186000,1.000000,1.000000
0.187000,1.000000,1.000000
0.188000,1.000000,1.000000
0.189000,1.000000,1.000000
0.190000,1.000000,1.000000
0.191000,1.000000,1.000000
0.192000,1.000000,1.000000
0.193000,1.000000,1.000000
0.194000,1.000000,1.000000
0.195000,1.000000,1.000000
0.196000,1.000000,1.000000
0.197000,1.000000,1.000000
0.198000,1.000000,1.000000
0.199000,1.000000,1.000000
0.200000,1.000000,1.000000
0.201000,1.000000,1.000000
0.202000,1.000000,1.000000
0.203000,1.000000,1.000000
0.204000,1.000000,1.000000
0.205000,1.000000,1.000000
0.206000,1.000000,1.000000
0.207000,1.000000,1.000000
0.208000,1.000000,1.000000
0.209000,1.000000,1.000000
0.210000,1.000000,1.000000
0.211000,1.000000,1.000000
0.212000,1.000000,1.000000
0.213000,1.000000,1.000000
0.214000,1.000000,1.000000
0.215000,1.000000,1.000000
0.216000,1.000000,1.000000
0.217000,1.000000,1.000000
0.218000,1.000000,1.000000
0.219000,1.000000,1.000000
0.220000,1.000000,1.000000
0.221000,1.000000,1.000000
0.222000,1.000000,1.000000
0.223000,1.000000,1.000000
0.224000,1.000000,1.000000
0.225000,1.000000,1.000000
0.226000,1.000000,1.000000
0.227000,1.000000,1.000000
0.228000,1.000000,1.000000
0.229000,1.000000,1.000000
0.230000,1.000000,1.000000
0.231000,1.000000,1.000000
0.232000,1.000000,1.000000
0.233000,1.000000,1.000000
0.234000,1.000000,1.000000
0.235000,1.000000,1.000000
0.236000,1.000000,1.000000
0.237000,1.000000,1.000000
0.238000,1.000000,1.000000
0.239000,1.000000,1.000000
0.240000,1.000000,1.000000
0.241000,1.000000,1.000000
0.242000,1.000000,1.000000
0.243000,1.000000,1.000000
0.244000,1.000000,1.000000
0.245000,1.000000,1.000000
0.246000,1.000000,1.000000
0.247000,1.000000,1.000000
0.248000,1.000000,1.000000
0.249000,1.000000,1.000000
0.250000,1.000000,1.000000
0.251000,1.000000,1.000000
0.252000,1.000000,1.000000
0.253000,1.000000,1.000000
0.254000,1.000000,1.000000
0.255000,1.000000,1.000000
0.256000,1.000000,1.000000
0.257000,1.000000,1.000000
0.258000,1.000000,1.000000
0.259000,1.000000,1.000000
0.260000,1.000000,1.000000
0.261000,1.000000,1.000000
0.262000,1.000000,1.000000
0.263000,1.000000,1.000000
0.264000,1.000000,1.000000
0.265000,1.000000,1.000000
0.266000,1.000000,1.000000
0.267000,1.000000,1.000000
0.268000,1.000000,1.000000
0.269000,1.000000,1.000000
0.270000,1.000000,1.000000
0.271000,1.000000,1.000000
0.272000,1.000000,1.000000
0.273000,1.000000,1.000000
0.274000,1.000000,1.000000
0.275000,1.000000,1.000000
0.276000,1.000000,1.000000
0.277000,1.000000,1.000000
0.278000,1.000000,1.000000
0.279000,1.000000,1.000000
0.280000,1.000000,1.000000
0.281000,1.000000,1.000000
0.282000,1.000000,1.000000
0.283000,1.000000,1.000000
0.284000,1.000000,1.000000
0.285000,1.000000,1.000000
0.286000,1.000000,1.000000
0.287000,1.000000,1.000000
0.288000,1.000000,1.000000
0.289000,1.000000,1.000000
0.290000,1.000000,1.000000
0.291000,1.000000,1.000000
0.292000,1.000000,1.000000
0.293000,1.000000,1.000000
0.294000,1.000000,1.000000
0.295000,1.000000,1.000000
0.296000,1.000000,1.000000
0.297000,1.000000,1.000000
0.298000,1.000000,1.000000
0.299000,1.000000,1.000000
0.300000,1.000000,1.000000
0.301000,1.000000,1.000000
0.302000,1.000000,1.000000
0.303000,1.000000,1.000000
0.304000,1.000000,1.000000
0.305000,1.000000,1.000000
0.306000,1.000000,1.000000
0.307000,1.000000,1.000000
0.308000,1.000000,1.000000
0.309000,1.000000,1.000000
0.310000,1.000000,1.000000
0.311000,1.000000,1.000000
0.312000,1.000000,1.000000
0.313000,1.000000,1.000000
0.314000,1.000000,1.000000
0.315000,1.000000,1.000000
0.316000,1.000000,1.000000
0.317000,1.000000,1.000000
0.318000,1.000000,1.000000
0.319000,1.000000,1.000000
0.320000,1.000000,1.000000
0.321000,1.000000,1.000000
0.322000,1.000000,1.000000
0.323000,1.000000,1.000000
0.324000,1.000000,1.000000
0.325000,1.000000,1.000000
0.326000,1.000000,1.000000
0.327000,1.000000,1.000000
0.328000,1.000000,1.000000
0.329000,1.000000,1.000000
0.330000,1.000000,1.000000
0.331000,1.000000,1.000000
0.332000,1.000000,1.000000
0.333000,1.000000,1.000000
0.334000,1.000000,1.000000
0.335000,1.000000,1.000000
0.336000,1.000000,1.000000
0.337000,1.000000,1.000000
0.338000,1.000000,1.000000
0.339000,1.000000,1.000000
0.340000,1.000000,1.000000
0.341000,1.000000,1.000000
0.342000,1.000000,1.000000
0.343000,1.000000,1.000000
0.344000,1.000000,1.000000
0.345000,1.000000,1.000000
0.346000,1.000000,1.000000
0.347000,1.000000,1.000000
0.348000,1.000000,1.000000
0.349000,1.000000,1.000000
0.350000,1.000000,1.000000
0.351000,1.000000,1.000000
0.352000,1.000000,1.000000
0.353000,1.000000,1.000000
0.354000,1.000000,1.000000
0.355000,1.000000,1.000000
0.356000,1.000000,1.000000
0.357000,1.000000,1.000000
0.358000,1.000000,1.000000
0.359000,1.000000,1.000000
0.360000,1.000000,1.000000
0.361000,1.000000,1.000000
0.362000,1.000000,1.000000
0.363000,1.000000,1.000000
0.364000,1.000000,1.000000
0.365000,1.000000,1.000000
0.366000,1.000000,1.000000
0.367000,1.000000,1.000000
0.368000,1.000000,1.000000
0.369000,1.000000,1.000000
0.370000,1.000000,1.000000
0.371000,1.000000,1.000000
0.372000,1.000000,1.000000
0.373000,1.000000,1.000000
0.374000,1.000000,1.000000
0.375000,1.000000,1.000000
0.376000,1.000000,1.000000
0.377000,1.000000,1.000000
0.378000,1.000000,1.000000
0.379000,1.000000,1.000000
0.380000,1.000000,1.000000
0.381000,1.000000,1.000000
0.382000,1.000000,1.000000
0.383000,1.000000,1.000000
0.384000,1.000000,1.000000
0.385000,1.000000,1.000000
0.386000,1.000000,1.000000
0.387000,1.000000,1.000000
0.388000,1.000000,1.000000
0.389000,1.000000,1.000000
0.390000,1.000000,1.000000
0.391000,1.000000,1.000000
0.392000,1.000000,1.000000
0.393000,1.000000,1.000000
0.394000,1.000000,1.000000
0.395000,1.000000,1.000000
0.396000,1.000000,1.000000
0.397000,1.000000,1.000000
0.398000,1.000000,1.000000
0.399000,1.000000,1.000000
0.400000,1.000000,1.000000
0.401000,1.000000,1.000000
0.402000,1.000000,1.000000
0.403000,1.000000,1.000000
0.404000,1.000000,1.000000
0.405000,1.000000,1.000000
0.406000,0.999958,1.000000
0.407000,0.999748,1.000000
0.408000,0.999244,1.000000
0.409000,0.998342,1.000000
0.410000,0.996851,1.000000
0.411000,0.995025,1.000000
0.412000,0.992758,1.000000
0.413000,0.989861,1.000000
0.414000,0.986985,1.000000
0.415000,0.983270,1.000000
0.416000,0.979911,1.000000
0.417000,0.975629,1.000000
0.418000,0.971451,1.000000
0.419000,0.967148,1.000000
0.420000,0.962656,0.999979
0.421000,0.958080,0.999622
0.422000,0.953755,0.999181
0.423000,0.950313,0.997922
0.424000,0.946933,0.996431
0.425000,0.943239,0.994080
0.426000,0.940342,0.991163
0.427000,0.937193,0.988035
0.428000,0.934884,0.984214
0.429000,0.932218,0.980499
0.430000,0.929678,0.976300
0.431000,0.927264,0.971934
0.432000,0.925291,0.967022
0.433000,0.923150,0.962593
0.434000,0.920820,0.957597
0.435000,0.918091,0.952874
0.436000,0.914837,0.948549
0.437000,0.911205,0.943679
0.438000,0.906797,0.938117
0.439000,0.902116,0.933750
0.440000,0.896007,0.929909
0.441000,0.890738,0.926592
0.442000,0.884273,0.923234
0.443000,0.877304,0.919896
0.444000,0.870880,0.916369
0.445000,0.863155,0.912822
0.446000,0.855179,0.909442
0.447000,0.847391,0.905978
0.448000,0.839267,0.902242
0.449000,0.829989,0.897813
0.450000,0.820731,0.892817
0.451000,0.811495,0.887821
0.452000,0.802616,0.880872
0.453000,0.793526,0.873126
